id;pregunta;opciones;indice_correcto;dificultad;categoría
65;¿Qué lengua extinta fue descifrada gracias a la piedra de Rosetta?;Cuneiforme sumerio|Akkadio|Egipcio jeroglífico|Lineal A;2;difícil;historia
66;¿Qué país ganó el primer Mundial de Fútbol en 1930?;Brasil|Italia|Uruguay|Argentina;2;difícil;deportes
67;¿Qué atleta ostenta el récord olímpico de más medallas de oro (23) en natación?;Mark Spitz|Ian Thorpe|Michael Phelps|Ryan Lochte;2;difícil;deportes
68;¿Qué batalla marcó el fin de Napoleón Bonaparte en 1815?;Batalla de Waterloo|Batalla de Austerlitz|Batalla de Trafalgar|Batalla de Borodino;0;difícil;historia
69;¿Qué conjetura matemática, demostrada por Andrew Wiles en 1994, afirma que no existen enteros positivos \(a, b, c\) que satisfagan \(a^n + b^n = c^n\) para \(n > 2\)?;Conjetura de Goldbach|Último Teorema de Fermat|Hipótesis de Riemann|Conjetura de Poincaré;1;difícil;matemáticas
70;¿Qué movimiento artístico, liderado por André Breton en los años 1920, se basaba en el inconsciente y los sueños como fuentes de creación?;Cubismo|Surrealismo|Dadaísmo|Expresionismo;1;difícil;arte
71;¿Qué artista renacentista escondió mensajes crípticos en su obra "La Última Cena", incluyendo presuntas referencias a la música mediante símbolos matemáticos?;Miguel Ángel|Leonardo da Vinci|Rafael Sanzio|Sandro Botticelli;1;difícil;arte
72;¿Qué técnica pictórica, desarrollada por Jan van Eyck en el siglo XV, utiliza capas sucesivas de óleo mezclado con resina para lograr transparencias y brillos metálicos?;Témpera al huevo|Fresco|Esgrafiado|Glacis;3;difícil;arte
73;¿Qué número es primo?;15|23|33|49;1;media;matemáticas
74;¿Qué partícula subatómica tiene carga positiva?;Protón|Electrón|Neutrón|Fotón;0;media;ciencia
75;¿En qué año comenzó la Revolución Francesa?;1776|1789|1799|1804;1;media;historia
76;¿Qué elemento es el más abundante en el universo?;Hierro|Oxígeno|Hidrógeno|Carbono;2;media;ciencia
77;¿Cuál es el valor de π (pi), redondeado a 5 decimales?;3.14159|3.14160|3.14158|3.14162;0;media;matemáticas
